id;fecha;ccaa;provincia;tipo_producto;consumo
1;ene-24;Andalucia;Almeria;BIODIESEL;0
2;ene-24;Andalucia;Almeria;GASOLEO A;26252
3;ene-24;Andalucia;Almeria;GASOLEO B;6073
4;ene-24;Andalucia;Almeria;GASOLEO C;439
5;ene-24;Andalucia;Almeria;OTROS GASOLEOS;1277
6;ene-24;Andalucia;Almeria;BIOETANOL;0
7;ene-24;Andalucia;Almeria;GASOLINA  AUTO. S/PB 95 i.O.;5070
8;ene-24;Andalucia;Almeria;GASOLINA  AUTO. S/PB 98 i.O.;248
9;ene-24;Andalucia;Almeria;OTRAS GASOLINAS;1
10;ene-24;Andalucia;Almeria;FUELOLEO  BIA;187
11;ene-24;Andalucia;Almeria;OTROS FUELOLEOS;1467
12;ene-24;Andalucia;Almeria;QUEROSENO AVIACION;238
13;ene-24;Andalucia;Almeria;OTROS QUEROSENOS;0
14;ene-24;Andalucia;Almeria;GLP;2774
15;ene-24;Andalucia;Cadiz;BIODIESEL;23
16;ene-24;Andalucia;Cadiz;GASOLEO A;31689
17;ene-24;Andalucia;Cadiz;GASOLEO B;6412
18;ene-24;Andalucia;Cadiz;GASOLEO C;587
19;ene-24;Andalucia;Cadiz;OTROS GASOLEOS;89595
20;ene-24;Andalucia;Cadiz;BIOETANOL;0
21;ene-24;Andalucia;Cadiz;GASOLINA  AUTO. S/PB 95 i.O.;10254
22;ene-24;Andalucia;Cadiz;GASOLINA  AUTO. S/PB 98 i.O.;333
23;ene-24;Andalucia;Cadiz;OTRAS GASOLINAS;33
24;ene-24;Andalucia;Cadiz;FUELOLEO  BIA;0
25;ene-24;Andalucia;Cadiz;OTROS FUELOLEOS;320595
26;ene-24;Andalucia;Cadiz;QUEROSENO AVIACION;474
27;ene-24;Andalucia;Cadiz;OTROS QUEROSENOS;0
28;ene-24;Andalucia;Cadiz;GLP;4185
29;ene-24;Andalucia;Cordoba;BIODIESEL;7
30;ene-24;Andalucia;Cordoba;GASOLEO A;33156
31;ene-24;Andalucia;Cordoba;GASOLEO B;8410
32;ene-24;Andalucia;Cordoba;GASOLEO C;1082
33;ene-24;Andalucia;Cordoba;OTROS GASOLEOS;0
34;ene-24;Andalucia;Cordoba;BIOETANOL;0
35;ene-24;Andalucia;Cordoba;GASOLINA  AUTO. S/PB 95 i.O.;5107
36;ene-24;Andalucia;Cordoba;GASOLINA  AUTO. S/PB 98 i.O.;120
37;ene-24;Andalucia;Cordoba;OTRAS GASOLINAS;7
38;ene-24;Andalucia;Cordoba;FUELOLEO  BIA;35
39;ene-24;Andalucia;Cordoba;OTROS FUELOLEOS;0
40;ene-24;Andalucia;Cordoba;QUEROSENO AVIACION;15
41;ene-24;Andalucia;Cordoba;OTROS QUEROSENOS;0
42;ene-24;Andalucia;Cordoba;GLP;2912
43;ene-24;Andalucia;Granada;BIODIESEL;0
44;ene-24;Andalucia;Granada;GASOLEO A;37395
45;ene-24;Andalucia;Granada;GASOLEO B;7347
46;ene-24;Andalucia;Granada;GASOLEO C;4205
47;ene-24;Andalucia;Granada;OTROS GASOLEOS;362
48;ene-24;Andalucia;Granada;BIOETANOL;0
49;ene-24;Andalucia;Granada;GASOLINA  AUTO. S/PB 95 i.O.;8107
50;ene-24;Andalucia;Granada;GASOLINA  AUTO. S/PB 98 i.O.;326
51;ene-24;Andalucia;Granada;OTRAS GASOLINAS;1
52;ene-24;Andalucia;Granada;FUELOLEO  BIA;177
53;ene-24;Andalucia;Granada;OTROS FUELOLEOS;665
54;ene-24;Andalucia;Granada;QUEROSENO AVIACION;1072
55;ene-24;Andalucia;Granada;OTROS QUEROSENOS;0
56;ene-24;Andalucia;Granada;GLP;4204
57;ene-24;Andalucia;Huelva;BIODIESEL;0
58;ene-24;Andalucia;Huelva;GASOLEO A;23881
59;ene-24;Andalucia;Huelva;GASOLEO B;7988
60;ene-24;Andalucia;Huelva;GASOLEO C;299
61;ene-24;Andalucia;Huelva;OTROS GASOLEOS;1028
62;ene-24;Andalucia;Huelva;BIOETANOL;0
63;ene-24;Andalucia;Huelva;GASOLINA  AUTO. S/PB 95 i.O.;4279
64;ene-24;Andalucia;Huelva;GASOLINA  AUTO. S/PB 98 i.O.;101
65;ene-24;Andalucia;Huelva;OTRAS GASOLINAS;0
66;ene-24;Andalucia;Huelva;FUELOLEO  BIA;619
67;ene-24;Andalucia;Huelva;OTROS FUELOLEOS;570
68;ene-24;Andalucia;Huelva;QUEROSENO AVIACION;0
69;ene-24;Andalucia;Huelva;OTROS QUEROSENOS;0
70;ene-24;Andalucia;Huelva;GLP;2880
71;ene-24;Andalucia;Jaen;BIODIESEL;36
72;ene-24;Andalucia;Jaen;GASOLEO A;25778
73;ene-24;Andalucia;Jaen;GASOLEO B;4908
74;ene-24;Andalucia;Jaen;GASOLEO C;1946
75;ene-24;Andalucia;Jaen;OTROS GASOLEOS;0
76;ene-24;Andalucia;Jaen;BIOETANOL;0
77;ene-24;Andalucia;Jaen;GASOLINA  AUTO. S/PB 95 i.O.;4780
78;ene-24;Andalucia;Jaen;GASOLINA  AUTO. S/PB 98 i.O.;124
79;ene-24;Andalucia;Jaen;OTRAS GASOLINAS;0
80;ene-24;Andalucia;Jaen;FUELOLEO  BIA;26
81;ene-24;Andalucia;Jaen;OTROS FUELOLEOS;0
82;ene-24;Andalucia;Jaen;QUEROSENO AVIACION;10
83;ene-24;Andalucia;Jaen;OTROS QUEROSENOS;0
84;ene-24;Andalucia;Jaen;GLP;1899
85;ene-24;Andalucia;Malaga;BIODIESEL;0
86;ene-24;Andalucia;Malaga;GASOLEO A;43911
87;ene-24;Andalucia;Malaga;GASOLEO B;4754
88;ene-24;Andalucia;Malaga;GASOLEO C;538
89;ene-24;Andalucia;Malaga;OTROS GASOLEOS;1022
90;ene-24;Andalucia;Malaga;BIOETANOL;0
91;ene-24;Andalucia;Malaga;GASOLINA  AUTO. S/PB 95 i.O.;16497
92;ene-24;Andalucia;Malaga;GASOLINA  AUTO. S/PB 98 i.O.;1038
93;ene-24;Andalucia;Malaga;OTRAS GASOLINAS;14
94;ene-24;Andalucia;Malaga;FUELOLEO  BIA;27
95;ene-24;Andalucia;Malaga;OTROS FUELOLEOS;1097
96;ene-24;Andalucia;Malaga;QUEROSENO AVIACION;32026
97;ene-24;Andalucia;Malaga;OTROS QUEROSENOS;0
98;ene-24;Andalucia;Malaga;GLP;6387
99;ene-24;Andalucia;Sevilla;BIODIESEL;26
100;ene-24;Andalucia;Sevilla;GASOLEO A;53767
101;ene-24;Andalucia;Sevilla;GASOLEO B;8176
102;ene-24;Andalucia;Sevilla;GASOLEO C;836
103;ene-24;Andalucia;Sevilla;OTROS GASOLEOS;1023
104;ene-24;Andalucia;Sevilla;BIOETANOL;0
105;ene-24;Andalucia;Sevilla;GASOLINA  AUTO. S/PB 95 i.O.;14305
106;ene-24;Andalucia;Sevilla;GASOLINA  AUTO. S/PB 98 i.O.;298
107;ene-24;Andalucia;Sevilla;OTRAS GASOLINAS;3
108;ene-24;Andalucia;Sevilla;FUELOLEO  BIA;355
109;ene-24;Andalucia;Sevilla;OTROS FUELOLEOS;561
110;ene-24;Andalucia;Sevilla;QUEROSENO AVIACION;10967
111;ene-24;Andalucia;Sevilla;OTROS QUEROSENOS;0
112;ene-24;Andalucia;Sevilla;GLP;5841
113;ene-24;Aragon;Huesca;BIODIESEL;0
114;ene-24;Aragon;Huesca;GASOLEO A;13158
115;ene-24;Aragon;Huesca;GASOLEO B;7135
116;ene-24;Aragon;Huesca;GASOLEO C;2459
117;ene-24;Aragon;Huesca;OTROS GASOLEOS;0
118;ene-24;Aragon;Huesca;BIOETANOL;0
119;ene-24;Aragon;Huesca;GASOLINA  AUTO. S/PB 95 i.O.;2773
120;ene-24;Aragon;Huesca;GASOLINA  AUTO. S/PB 98 i.O.;130
121;ene-24;Aragon;Huesca;OTRAS GASOLINAS;4
122;ene-24;Aragon;Huesca;FUELOLEO  BIA;0
123;ene-24;Aragon;Huesca;OTROS FUELOLEOS;0
124;ene-24;Aragon;Huesca;QUEROSENO AVIACION;0
125;ene-24;Aragon;Huesca;OTROS QUEROSENOS;0
126;ene-24;Aragon;Huesca;GLP;3310
127;ene-24;Aragon;Teruel;BIODIESEL;0
128;ene-24;Aragon;Teruel;GASOLEO A;7781
129;ene-24;Aragon;Teruel;GASOLEO B;3981
130;ene-24;Aragon;Teruel;GASOLEO C;2645
131;ene-24;Aragon;Teruel;OTROS GASOLEOS;0
132;ene-24;Aragon;Teruel;BIOETANOL;0
133;ene-24;Aragon;Teruel;GASOLINA  AUTO. S/PB 95 i.O.;1303
134;ene-24;Aragon;Teruel;GASOLINA  AUTO. S/PB 98 i.O.;47
135;ene-24;Aragon;Teruel;OTRAS GASOLINAS;0
136;ene-24;Aragon;Teruel;FUELOLEO  BIA;96
137;ene-24;Aragon;Teruel;OTROS FUELOLEOS;0
138;ene-24;Aragon;Teruel;QUEROSENO AVIACION;55
139;ene-24;Aragon;Teruel;OTROS QUEROSENOS;0
140;ene-24;Aragon;Teruel;GLP;876
141;ene-24;Aragon;Zaragoza;BIODIESEL;78
142;ene-24;Aragon;Zaragoza;GASOLEO A;40290
143;ene-24;Aragon;Zaragoza;GASOLEO B;10770
144;ene-24;Aragon;Zaragoza;GASOLEO C;10183
145;ene-24;Aragon;Zaragoza;OTROS GASOLEOS;17
146;ene-24;Aragon;Zaragoza;BIOETANOL;0
147;ene-24;Aragon;Zaragoza;GASOLINA  AUTO. S/PB 95 i.O.;8168
148;ene-24;Aragon;Zaragoza;GASOLINA  AUTO. S/PB 98 i.O.;256
149;ene-24;Aragon;Zaragoza;OTRAS GASOLINAS;1
150;ene-24;Aragon;Zaragoza;FUELOLEO  BIA;6
151;ene-24;Aragon;Zaragoza;OTROS FUELOLEOS;0
152;ene-24;Aragon;Zaragoza;QUEROSENO AVIACION;6495
153;ene-24;Aragon;Zaragoza;OTROS QUEROSENOS;0
154;ene-24;Aragon;Zaragoza;GLP;3003
155;ene-24;Principado de Asturias;Asturias;BIODIESEL;0
156;ene-24;Principado de Asturias;Asturias;GASOLEO A;30981
157;ene-24;Principado de Asturias;Asturias;GASOLEO B;7035
158;ene-24;Principado de Asturias;Asturias;GASOLEO C;5137
159;ene-24;Principado de Asturias;Asturias;OTROS GASOLEOS;3314
160;ene-24;Principado de Asturias;Asturias;BIOETANOL;0
161;ene-24;Principado de Asturias;Asturias;GASOLINA  AUTO. S/PB 95 i.O.;7918
162;ene-24;Principado de Asturias;Asturias;GASOLINA  AUTO. S/PB 98 i.O.;420
163;ene-24;Principado de Asturias;Asturias;OTRAS GASOLINAS;1
164;ene-24;Principado de Asturias;Asturias;FUELOLEO  BIA;607
165;ene-24;Principado de Asturias;Asturias;OTROS FUELOLEOS;321
166;ene-24;Principado de Asturias;Asturias;QUEROSENO AVIACION;997
167;ene-24;Principado de Asturias;Asturias;OTROS QUEROSENOS;0
168;ene-24;Principado de Asturias;Asturias;GLP;3597
169;ene-24;Islas Baleares;Islas Baleares;BIODIESEL;0
170;ene-24;Islas Baleares;Islas Baleares;GASOLEO A;22011
171;ene-24;Islas Baleares;Islas Baleares;GASOLEO B;3505
172;ene-24;Islas Baleares;Islas Baleares;GASOLEO C;18902
173;ene-24;Islas Baleares;Islas Baleares;OTROS GASOLEOS;2010
